Location Number,Store Format,Region Number,District Number,Location City,Location State Code,Zip Code,Zip Plus Four,National Number,National Description,Location Name,Vice President Region Name,Region Manager Name,Close  Date,Planned Close Date,Open Date,District Manager Name,Format Type,Store Format Description,Dma Name,Latitude,Longitude,Original Facility Number,Location Status,Row Create Timestamp,Row Create User Identifier,Row Modify Timestamp,Row Modify User Identifier,,,
33029,HDQ,74407,73407,HOFFMAN ESTATES,IL,60192,3333,70002,SEARS FORMAT,UNIT NUMBER 2585 PR-B,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,1/29/2006,OVERHEAD DIST,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
3581,DLR,79029,78203,CHANUTE,KS,66720,3252,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,SOUTH REGI/HOMETOWN,R9029 SOUTH REGION,1/1/1900,1/1/1900,8/27/1998,D203 TULSA,1,AUTH HOMETOWN STORES,Joplin-Pittsburg, MO-KS,37.6583,-95.4523,3581,OPEN,5/15/2014 08:56:37,PNADIGE,10/1/2016 08:39:31,MAPMPS_PROD_BCH,,
7661,OUT,74285,73285,LOUISVILLE,KY,40258,3948,70002,SEARS FORMAT,LOUISVILLE - OUTLET,CLOSED OUT/   CLOSED,RROCL CLOSED OUTL,5/22/2015,5/22/2015,5/27/2010,DROCL CLOSED OUTL,1,OUTLET STORES,Louisville, KY,38.1516,-85.8365,7661,CLOSED,5/15/2014 08:56:37,PNADIGE,5/31/2015 07:32:17,MOKSHA_PROD_BCH,,
39431,APO,74407,73407,HOFFMAN ESTATES,IL,60179,3333,70002,SEARS FORMAT,LE-TAX SERVICES,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,4/7/2014,OVERHEAD DIST,450,ACCOUNTING UNITS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
8227,SVC,79411,73208,DALLAS,TX,75234,5722,70002,SEARS FORMAT,DALLAS -FT WORTH SRV CENT,WEST DIVIS/PR REPAIR,T79411 TEXAS TERR,1/1/1900,1/1/1900,7/6/1976,D8227 DALLAS,660,SERVICE CENTRALS,Dallas-Ft. Worth, TX,0,0,8227,OPEN,5/15/2014 08:56:37,PNADIGE,8/22/2015 13:21:42,MOKSHA_PROD_BCH,,
2319,FLS,79297,78297,KELSO,WA,98626,3100,70002,SEARS FORMAT,KELSO - B,CLOSED REG/   CLOSED,R9025 CLOSED REGI,1/20/2013,1/20/2013,3/2/1988,D297 CLOSED FLS D,1,FULL LINE STORES,Portland, OR,46.1389,-122.9002,2319,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
36409,HDQ,74407,73407,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,LAW ADMINISTRATION,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,2/14/1996,OVERHEAD DIST,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
5064,DLR,79080,78392,HAWTHORNE,CA,90250,3395,70002,SEARS FORMAT,HAWTHORNE - HAS,HOME APPL /SHOWROOMS,HA SHOWROOMS,1/1/1900,1/1/1900,1/16/2014,D392 CALIF/WASHIN,1,AUTH HOMETOWN STORES,Los Angeles, CA,33.9245,-118.3243,5064,OPEN,5/15/2014 08:56:37,PNADIGE,2/13/2016 09:20:38,MAPMPS_PROD_BCH,,
6111,SAC,79110,78597,ABERDEEN,WA,98520,6738,70002,SEARS FORMAT,ABERDEEN-SAC,CLOSED SAC/SAC - REG,CLOSED UNITS-SAC,8/18/2005,8/18/2005,7/30/1981,D597 CLOSED UNITS,1,SEARS AUTO CENTERS,Seattle-Tacoma, WA,0,0,6111,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
54849,MSC,74246,73255,HOFFMAN ESTATES,IL,60179,3333,70002,SEARS FORMAT,SPP CORPORATE OFFSET,SERVICE CO/   SERVIC,RCONT SERVICE CON,1/1/1900,1/1/1900,1/16/2013,DAFTO SC MRA,999,MISCELLANOUS,Chicago, IL,0,0,54849,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
