Location Number,Store Format,Region Number,District Number,Location City,Location State Code,Zip Code,Zip Plus Four,National Number,National Description,Location Name,Vice President Region Name,Region Manager Name,Close  Date,Planned Close Date,Open Date,District Manager Name,Format Type,Store Format Description,Dma Name,Latitude,Longitude,Original Facility Number,Location Status,Row Create Timestamp,Row Create User Identifier,Row Modify Timestamp,Row Modify User Identifier,,,
8554,CPD,8554,8554,AUGUSTA,GA,30904,7011,70002,SEARS FORMAT,PENSACOLA - CS MIXER,/   NICHOL,NICHOLAS GEORGE,1/1/1900,1/1/1900,1/1/2003,NICHOLAS GEORGE,316,COMMERCIAL PRD,Augusta-Aiken, GA-SC,0,0,4826,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
1323,FLS,79231,78141,MIDDLETOWN,NY,10941,3030,70002,SEARS FORMAT,MIDDLETOWN - A,NORTHEAST /FLS - REG,NORTHEAST,1/1/1900,1/1/1900,5/20/1992,HARTFORD 141,1,FULL LINE STORES,New York, NY,41.4525,-74.3662,1323,OPEN,5/15/2014 08:56:37,PNADIGE,2/15/2015 09:33:44,MOKSHA_PROD_BCH,,
54516,APO,74407,73407,SAN JOSE,CA,95119,1208,70002,SEARS FORMAT,SAN JOSE-OSH LEDGER UNIT,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,6/3/1998,OVERHEAD DIST,450,ACCOUNTING UNITS,San Francisco et al, CA,0,0,554570,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
3115,KMB,40731,40736,DE WITT,NY,13214,1635,70001,KMART FORMAT,DE WITT NY,CLOSED STO/   -     ,2014 CLOSED RM,1/11/2015,1/11/2015,6/28/1973,2014 WAVE6 CLS DM,2,KMART BIG K STORES,Syracuse, NY,43.0452,-76.0664,?,CLOSED,5/15/2014 08:56:37,PNADIGE,2/1/2015 20:45:33,MOKSHA_PROD_BCH,,
4815,KMB,40760,40748,EATON,OH,45320,9276,70001,KMART FORMAT,EATON OH,CLOSED STO/   -     ,2016 CLOSED RM,7/31/2016,7/31/2016,11/1/1993,2016 WAVE2 CLS DM,2,KMART BIG K STORES,Dayton, OH,39.767,-84.6386,?,CLOSED,5/15/2014 08:56:37,PNADIGE,8/28/2016 07:34:25,MAPMPS_PROD_BCH,,
8285,SVC,79831,74131,W PALM BEACH,FL,33409,?,70002,SEARS FORMAT,WEST PALM BEACH-BRANCH,CLOSED PRO/CLOSED PR,CLOSED PROD REPAIR,8/20/2005,8/20/2005,1/8/1974,CLOSED PROD REPAIR,660,SERVICE CENTRALS,W. Palm Beach et al, FL,0,0,8285,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
4526,OUT,79034,78943,WEST PALM BEACH,FL,33415,5638,70002,SEARS FORMAT,WEST PALM BEACH - OTLT,RETAIL OUT/FIELD ROL,EAST REGION-OUTLET,1/1/1900,1/1/1900,4/27/2012,MIAMI-OUTLET,1,OUTLET STORES,W. Palm Beach et al, FL,26.6516,-80.114,4526,OPEN,5/15/2014 08:56:37,PNADIGE,5/27/2014 17:40:09,MOKSHA_PROD_BCH,,
8777,APO,74246,73250,WEST HILLS,CA,91304,3226,70002,SEARS FORMAT,WEST HILLS-MKTG CTR-PA,SERVICE CO/   SERVIC,RCONT SERVICE CON,1/1/1900,1/1/1900,6/25/1999,DAFTT TELEMARKETI,450,ACCOUNTING UNITS,Los Angeles, CA,0,0,8777,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
5052,DLR,79594,78364,MADISON,OH,44057,2554,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,NORTHEAST /HOMETOWN,R9042 NORTH REG,1/1/1900,1/1/1900,11/22/2010,D364 PITTSBURGH, PA,1,AUTH HOMETOWN STORES,Cleveland et al, OH,41.8022,-81.0499,5052,OPEN,5/15/2014 08:56:37,PNADIGE,10/5/2016 13:04:47,MAPMPS_PROD_BCH,
28124,APO,79830,73627,LOUISVILLE,KY,40223,4757,70002,SEARS FORMAT,HS-OH VALLEY CAP AREA 95,SOUTH DIVI/PR REPAIR,R830 SOUTH REGION,1/1/1900,1/1/1900,11/27/2006,,450,ACCOUNTING UNITS,Louisville, KY,0,0,28124,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
457,DST,9033,8560,HOFFMAN EST,IL,60179,?,70003,DISTR FORMAT,JRC - DOS,DC STORE ROLLUP-TOP LEVEL,,1/1/1900,1/1/1900,3/9/2001,,142,DISTRIBUTION CENTERS,Chicago, IL,0,0,457,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
5521,DLR,79577,78201,EL DORADO,KS,67042,2016,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,CENTRAL RE/HOMETOWN,R9039 CENTRAL REG,6/23/2016,6/23/2016,6/1/1996,D201 KANSAS CITY,1,AUTH HOMETOWN STORES,Wichita et al, KS,37.8186,-96.8501,3122,CLOSED,5/15/2014 08:56:37,PNADIGE,7/3/2016 09:17:20,MAPMPS_PROD_BCH,,
5469,DLR,79577,78220,PRINCETON,IN,47670,?,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,CENTRAL RE/HOMETOWN,R9039 CENTRAL REG,1/1/1900,1/1/1900,12/29/2003,D220 INDIANAPOLIS,1,AUTH HOMETOWN STORES,Evansville, IN,38.3553,-87.586,3056,OPEN,5/15/2014 08:56:37,PNADIGE,2/13/2016 09:20:38,MAPMPS_PROD_BCH,,
33167,HDQ,74407,73407,HOFFMAN ESTATES,IL,60179,3333,70002,SEARS FORMAT,BRANDS - KENMORE,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,10/23/2008,OVERHEAD DIST,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
1977,FLS,79055,78330,MARIETTA,GA,30062,?,70002,SEARS FORMAT,MARIETTA - D,KSR REGION/   KSR RE,R9055 KSR REGION,11/11/2007,11/11/2007,8/8/2005,KSR DISTRICT D330,1,FULL LINE STORES,Atlanta, GA,0,0,1977,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
1784,FLS,79231,78151,JOHNSON CITY,NY,13790,?,70002,SEARS FORMAT,JOHNSON CITY - A,NORTHEAST /FLS - REG,NORTHEAST,1/1/1900,1/1/1900,1/1/1951,BUFFALO 151,1,FULL LINE STORES,Binghamton, NY,42.1302,-75.9741,1784,OPEN,5/15/2014 08:56:37,PNADIGE,2/15/2015 09:33:44,MOKSHA_PROD_BCH,,
8625,SVC,79411,73224,KANSAS CITY,MO,64120,1029,70002,SEARS FORMAT,KANSAS CITY-A&E L&G,WEST DIVIS/PR REPAIR,T79411 TEXAS TERR,6/18/2015,6/18/2015,3/1/2004,D8420 GR MIDWEST,660,SERVICE CENTRALS,Kansas City, MO-KS,0,0,8625,CLOSED,5/15/2014 08:56:37,PNADIGE,10/19/2016 10:55:04,MAPMPS_PROD_BCH,,
8897,DST,9033,8560,KENT,WA,98032,2962,70003,DISTR FORMAT,KENT - MIXLOAD,DC STORE ROLLUP-TOP LEVEL,,1/1/1900,1/1/1900,1/19/1998,,304,DISTRIBUTION CENTERS,Seattle-Tacoma, WA,0,0,8897,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
5113,HDW,79334,78334,PHILADELPHIA,PA,19151,2001,70002,SEARS FORMAT,PHILADELPHIA - HDWR,CLOSED HAR/HARDWARE2,R9934 CLOSED HARD,7/15/2012,7/15/2015,2/12/1998,D334 CLOSED HARDW,1,HARDWARE STORES,Philadelphia, PA,39.9768,-75.2747,5113,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
28119,APO,78820,73603,PINEVILLE,NC,28134,8861,70002,SEARS FORMAT,HS-CHARLOTTE CAP AREA 105,NORTH REGI/R820 NORT,D820 NORTH,1/1/1900,1/1/1900,11/27/2006,,450,ACCOUNTING UNITS,Charlotte, NC,0,0,28119,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
1677,GRD,79297,78297,CLEARWATER,FL,33765,?,70002,SEARS FORMAT,CLEARWATER - B,CLOSED REG/   CLOSED,R9025 CLOSED REGI,2/15/2009,2/15/2009,8/10/2005,D297 CLOSED FLS D,1,SEARS GRANDS,Tampa et al, FL,27.9606,-82.7486,1677,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
3302,KMB,40511,40580,TOLEDO,OH,43613,2302,70001,KMART FORMAT,TOLEDO OH,NORTH WEST/M MCNERNE,M MCNERNEY/NORT WEST,1/1/1900,1/1/1900,3/18/1976,E  MOYER/MI/NW OH,2,KMART BIG K STORES,Toledo, OH,41.7201,-83.588,?,OPEN,5/15/2014 08:56:37,PNADIGE,2/27/2016 22:31:05,MAPMPS_PROD_BCH,,
59770,CPD,73262,8551,AUGUSTA,GA,30906,7011,70002,SEARS FORMAT,LUBBOCK - CPDC,COMM SALES/CS NATL A,CS NATL ACCTS DIST,1/1/1900,1/1/1900,8/31/1994,ZISH TROCKI,316,COMMERCIAL PRD,Augusta-Aiken, GA-SC,0,0,59770,OPEN,5/15/2014 08:56:37,PNADIGE,9/18/2014 04:03:57,MOKSHA_PROD_BCH,,
1035,FLS,79233,78153,AUGUSTA,GA,30909,2511,70002,SEARS FORMAT,AUGUSTA - A,SOUTHEAST /FLS - REG,SOUTHEAST,1/1/1900,1/1/1900,3/7/1990,ATLANTA 153,1,FULL LINE STORES,Augusta-Aiken, GA-SC,33.4619,-82.0786,1035,OPEN,5/15/2014 08:56:37,PNADIGE,2/15/2015 09:33:44,MOKSHA_PROD_BCH,,
34383,MSC,74403,73403,PHOENIX,AZ,85033,5433,70002,SEARS FORMAT,183 SGP 01708 06608 PHOENIX,AZ,RSATO     /   SEGMEN,RSATO SEGMENTED A,3/24/2016,3/24/2016,5/26/2015,DSATO SEGMENTED A,999,MISCELLANOUS,Phoenix et al, AZ,0,0,?,CLOSED,5/30/2015 07:35:18,MOKSHA_PROD_BCH,4/20/2016 12:40:53,MAPMPS_PROD_BCH,
35470,HDQ,74407,73407,HOFFMAN ESTATES,IL,60179,3333,70002,SEARS FORMAT,SERVICES,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,10/18/2016,OVERHEAD DIST,700,HDQTRS DEPTS,Chicago, IL,0,0,35470,OPEN,10/22/2016 07:37:07,MAPMPS_PROD_BCH,?,?,,
54240,APO,70502,70503,DALLAS,TX,75206,?,70002,SEARS FORMAT,UNION PLANTERS BANK INDIANA,SEARS     /CORP DIVI,CORP REGION-SEARS,1/1/1900,1/1/1900,3/1/2006,CORP DISTRICT-SEARS,450,ACCOUNTING UNITS,Dallas-Ft. Worth, TX,0,0,?,OPEN,11/8/2014 06:46:59,MOKSHA_PROD_BCH,?,?,,
38139,HDQ,74407,73407,HOFFMAN ESTATES,IL,60179,3333,70002,SEARS FORMAT,MERKETING-HOME SERVICES,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,11/19/2013,OVERHEAD DIST,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
2299,FLS,79232,78132,ABERDEEN,WA,98520,6738,70002,SEARS FORMAT,ABERDEEN - B,NORTHWEST /FLS - REG,NORTHWEST,1/1/1900,1/1/1900,7/30/1981,SEATTLE 132,1,FULL LINE STORES,Seattle-Tacoma, WA,46.9595,-123.807,2299,OPEN,5/15/2014 08:56:37,PNADIGE,2/15/2015 09:33:44,MOKSHA_PROD_BCH,,
36500,MSC,74407,73407,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,NAI - SOUTHTRUST BANK (IL,Overhead  /OHD 6,OVERHEAD RGN,9/30/2011,9/30/2011,11/30/2000,OVERHEAD DIST,999,MISCELLANOUS,Chicago, IL,0,0,?,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
54552,LES,74407,73407,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,LEII INTRNL INC ASSET,Overhead  /OHD 6,OVERHEAD RGN,6/16/2014,6/16/2014,6/23/2003,OVERHEAD DIST,701,LANDS END STORES,Chicago, IL,0,0,610010,CLOSED,5/15/2014 08:56:37,PNADIGE,7/6/2014 16:01:13,MOKSHA_PROD_BCH,,
1443,FLS,79231,78141,MANCHESTER,CT,6040,8700,70002,SEARS FORMAT,MANCHESTER - A,NORTHEAST /FLS - REG,NORTHEAST,1/1/1900,1/1/1900,3/14/1990,HARTFORD 141,1,FULL LINE STORES,Hartford & New Haven, CT,41.808,-72.5475,1443,OPEN,5/15/2014 08:56:37,PNADIGE,2/15/2015 09:33:44,MOKSHA_PROD_BCH,,
9502,SVC,79411,73224,KANSAS CITY,MO,64120,1029,70002,SEARS FORMAT,KANSAS CITY A&E BRANCH,WEST DIVIS/PR REPAIR,T79411 TEXAS TERR,1/1/1900,1/1/1900,3/15/2002,D8420 GR MIDWEST,660,SERVICE CENTRALS,Kansas City, MO-KS,0,0,9502,OPEN,5/15/2014 08:56:37,PNADIGE,10/19/2016 10:55:04,MAPMPS_PROD_BCH,,
35674,HDQ,74403,73403,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,SEARS REINS. - WARRANTY,RSATO     /   SEGMEN,RSATO SEGMENTED A,1/1/1900,1/1/1900,2/19/2002,DSATO SEGMENTED A,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
36601,MSC,74317,73317,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,NAI - INF ADMIN A/O,RFLHO     /FLS INFOM,RFLHO FLS HOME C,1/1/1900,1/1/1900,11/20/2000,DFLIN FLS INFOMER,999,MISCELLANOUS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
6045,DST,9033,8560,TALLAHASSEE,FL,32310,6124,70003,DISTR FORMAT,TALLAHASSEE,DC STORE ROLLUP-TOP LEVEL,,1/1/1900,1/1/1900,7/3/1969,,353,DISTRIBUTION CENTERS,Tallahassee et al, FL-GA,0,0,6045,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
32441,APO,74402,73402,COLUMBIA,MD,21046,?,70002,SEARS FORMAT,CCN HOME DELIVERY,RHDPR     /   HOME D,RHDPR HOME DEL PR,2/23/2007,2/23/2007,7/26/2002,HOME DELIVERY,450,ACCOUNTING UNITS,Baltimore, MD,0,0,82002,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
7408,DLR,79528,78108,TOOELE,UT,84074,2132,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,R9037 WEST/HOMETOWN,R9037 WEST REG,1/1/1900,1/1/1900,11/26/2008,D108 SALT LAKE CI,1,AUTH HOMETOWN STORES,Salt Lake City, UT,40.5335,-112.2977,7408,OPEN,5/15/2014 08:56:37,PNADIGE,6/11/2014 16:03:37,MOKSHA_PROD_BCH,,
35497,HDQ,74407,73407,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,MALL STORE BUS FIN MNGR G,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,6/6/1996,OVERHEAD DIST,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
33445,APO,74407,73407,HOFFMAN ESTATES,IL,60179,3333,70002,SEARS FORMAT,SHO RE TRANS WITH SEARS,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,12/11/2012,OVERHEAD DIST,450,ACCOUNTING UNITS,Chicago, IL,0,0,33445,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
34349,MSC,74403,73403,ATLANTA,GA,30339,?,70002,SEARS FORMAT,149 SGP 01385 06857 ATLANTA,GA,RSATO     /   SEGMEN,RSATO SEGMENTED A,3/24/2016,3/24/2016,5/26/2015,DSATO SEGMENTED A,999,MISCELLANOUS,Atlanta, GA,0,0,?,CLOSED,5/30/2015 07:35:18,MOKSHA_PROD_BCH,4/20/2016 12:40:53,MAPMPS_PROD_BCH,
36195,HDQ,74407,73407,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,SAC MERCHANTS,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,2/14/1996,OVERHEAD DIST,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,3/12/2016 08:21:15,MAPMPS_PROD_BCH,,
7288,KMB,40523,40770,LOUISVILLE,KY,40214,5544,70001,KMART FORMAT,LOUISVILLE KY,SOUTH EAST/D GEORGE ,D GEORGE/SOUTH EAST,1/1/1900,1/1/1900,6/25/1981,J  MILTENBERGER/E KY,2,KMART BIG K STORES,Louisville, KY,38.1279,-85.7774,?,OPEN,5/15/2014 08:56:37,PNADIGE,3/9/2016 09:04:33,MAPMPS_PROD_BCH,,
6949,SAC,79074,78504,LONGVIEW,TX,75605,4420,70002,SEARS FORMAT,LONGVIEW-SAC,SOUTH CENT/SAC - REG,CENTRAL REG 9074,1/1/1900,1/1/1900,4/26/1979,CENTRAL TEXAS 504,1,SEARS AUTO CENTERS,Tyler-Longview et al, TX,32.5388,-94.7532,6949,OPEN,5/15/2014 08:56:37,PNADIGE,2/13/2016 09:20:38,MAPMPS_PROD_BCH,,
4200,CTS,8501,8501,CINCINNATI,OH,45242,2808,70002,SEARS FORMAT,BLUE ASH/IND OPC-CONT SAL,INDUSTRIAL/   SPRY E,SPRY E.A.,1/1/1900,1/1/1900,6/1/1981,SPRY E.A.,1,CONTRACT SALES STORES,Cincinnati, OH,0,0,4200,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
2789,SAC,79073,78578,SAN JUAN,PR,918,8001,70002,SEARS FORMAT,SAN JUAN-SAC,SOUTHEAST /SAC - REG,SOUTHEAST 9073,1/1/1900,1/1/1900,7/1/2004,SOUTH FLORIDA/PR 578,1,SEARS AUTO CENTERS,NON-US,18.4244,-66.0749,2789,OPEN,5/15/2014 08:56:37,PNADIGE,2/13/2016 09:20:38,MAPMPS_PROD_BCH,,,
6686,DLR,79288,78200,SARANAC LAKE,NY,12983,1705,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,CLOSED DEA/   DEALER,R9288 CLOSED REGION,8/24/2015,8/24/2015,6/26/2000,HOMETOWN STR ROLLUP,1,AUTH HOMETOWN STORES,Burlington et al, VT-NY,44.3269,-74.132,3853,CLOSED,5/15/2014 08:56:37,PNADIGE,3/5/2016 15:58:23,MAPMPS_PROD_BCH,,
8159,DIO,74419,73419,PFLUGERVILLE,TX,78660,5630,70002,SEARS FORMAT,PFLUGERVILLE,TX,RHDPR     /   HOME D,SOUTHERN TERRITORY,1/1/1900,1/1/1900,10/2/2011,SOUTHERN DISTRICT,1,INSTALLATION OFFICES,Austin, TX,0,0,8159,OPEN,8/12/2015 08:42:14,MOKSHA_PROD_BCH,4/2/2016 08:27:13,MAPMPS_PROD_BCH,
7218,DLR,79528,78111,GUNNISON,CO,81230,2469,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,R9037 WEST/HOMETOWN,R9037 WEST REG,1/1/1900,1/1/1900,1/22/2010,D111 DENVER,1,AUTH HOMETOWN STORES,Denver, CO,38.4867,-107.1026,7218,OPEN,5/15/2014 08:56:37,PNADIGE,2/15/2015 09:33:44,MOKSHA_PROD_BCH,,
4127,OUT,74285,73285,HENDERSONVILLE,TN,37075,2543,70002,SEARS FORMAT,APC NON-SELLING (CLSD 05/30/13),CLOSED OUT/   CLOSED,RROCL CLOSED OUTL,11/7/2013,11/7/2013,2/24/2013,DROCL CLOSED OUTL,1,OUTLET STORES,Nashville, TN,0,0,4127,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
4137,KMB,40731,40722,CHARLOTTE,NC,28208,3853,70001,KMART FORMAT,CHARLOTTE NC,CLOSED STO/   -     ,2014 CLOSED RM,3/30/2014,3/30/2014,11/10/1966,2014 - Wave 1 Closing Sto,2,KMART BIG K STORES,Charlotte, NC,35.2366,-80.8856,?,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
35358,HDQ,74403,73403,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,OTHER INCOME REAL EST -PR,RSATO     /   SEGMEN,RSATO SEGMENTED A,10/27/2010,10/27/2010,2/1/1993,DSATO SEGMENTED A,700,HDQTRS DEPTS,Chicago, IL,0,0,?,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
7738,DLR,79084,78392,PANORAMA CITY,CA,91405,?,70002,SEARS FORMAT,PANORAMA CITY - HAS,HOME APPL /WEST DIV-,WEST REGION-HAS,1/1/1900,1/1/1900,12/31/2049,D392 CALIFORNIA,1,AUTH HOMETOWN STORES,Los Angeles, CA,0,0,7738,OPEN,5/15/2014 08:56:37,PNADIGE,6/11/2014 16:03:37,MOKSHA_PROD_BCH,,
7683,KMB,40512,40922,KAILUA-KONA,HI,96740,1648,70001,KMART FORMAT,KAILUA-KONA HI,SOUTH WEST/D MARSELL,D MARSELLA/SO WEST,1/1/1900,1/1/1900,11/17/1994,B  WATKINS/PACIFI,2,KMART BIG K STORES,Honolulu, HI,19.653,-155.9991,?,OPEN,5/15/2014 08:56:37,PNADIGE,8/6/2016 09:29:02,MAPMPS_PROD_BCH,,
7570,KMB,40517,40531,BAYAMON,PR,961,3102,70001,KMART FORMAT,BAYAMON PR,OFFSHORE  /J MESENBR,J MESENBRING/OFFSHOR,1/1/1900,1/1/1900,10/20/1983,San German PR,2,KMART BIG K STORES,NON-US,18.4227,-66.1599,?,OPEN,5/15/2014 08:56:37,PNADIGE,11/5/2016 09:10:49,MAPMPS_PROD_BCH,,,
9500,CTG,74281,73281,MANTENO,IL,60950,?,70002,SEARS FORMAT,WISHBOOK CATALOG,SPECIALTY /WISHBOOK,R2CSC SPECIALTY E,1/1/1900,1/1/1900,5/16/1996,D2CWB WISH BOOK,1,CATALOG STORES,Chicago, IL,0,0,9500,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
1555,FLS,79233,78183,SANFORD,FL,32771,7410,70002,SEARS FORMAT,SANFORD - A,SOUTHEAST /FLS - REG,SOUTHEAST,1/1/1900,1/1/1900,9/16/1995,ORLANDO 183,1,FULL LINE STORES,Orlando et al, FL,28.8035,-81.3396,1555,OPEN,5/15/2014 08:56:37,PNADIGE,2/15/2015 09:33:44,MOKSHA_PROD_BCH,,
9334,KMB,40731,40735,FLORISSANT,MO,63033,6799,70001,KMART FORMAT,FLORISSANT MO,CLOSED STO/   -     ,2014 CLOSED RM,12/7/2014,12/7/2014,10/29/1998,2014 WAVE5 CLS DM,2,KMART BIG K STORES,St. Louis, MO,38.7729,-90.2821,?,CLOSED,5/15/2014 08:56:37,PNADIGE,1/5/2015 02:56:28,MOKSHA_PROD_BCH,,
25022,APO,89721,88721,TUCSON,AZ,85714,3400,70002,SEARS FORMAT,TUCSON ICCE,RETAIL SUP/RETAIL SU,RETAIL SUPPRT REGION,1/1/1900,1/1/1900,1/11/2007,RETAIL SUPPORT DIST,450,ACCOUNTING UNITS,Tucson(Sierra Vista), AZ,0,0,91053,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
36292,HDQ,74407,73407,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,BLDG NON-DISCRETIONARY,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,8/24/1994,OVERHEAD DIST,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
8951,CPD,8501,8501,BLUE ASH,OH,45242,?,70002,SEARS FORMAT,BLUE ASH - CPDC,INDUSTRIAL/   SPRY E,SPRY E.A.,1/1/1900,1/1/1900,11/10/1993,SPRY E.A.,316,COMMERCIAL PRD,Cincinnati, OH,0,0,8951,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
5330,HDW,79334,78334,ROUND LK BCH,IL,60073,1332,70002,SEARS FORMAT,ROUND LAKE BEACH-HDWR,CLOSED HAR/HARDWARE2,R9934 CLOSED HARD,10/22/2006,10/22/2006,1/11/1995,D334 CLOSED HARDW,1,HARDWARE STORES,Chicago, IL,0,0,5330,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
36761,HDQ,74403,73403,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,HOMART HOLDINGS,RSATO     /   SEGMEN,RSATO SEGMENTED A,1/1/1900,1/1/1900,11/5/1996,DSATO SEGMENTED A,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
4678,FLS,79055,78330,NORRIDGE,IL,60706,1277,70002,SEARS FORMAT,NORRIDGE - D,KSR REGION/   KSR RE,R9055 KSR REGION,1/1/1900,1/1/1900,4/6/2005,KSR DISTRICT D330,1,FULL LINE STORES,Chicago, IL,0,0,9834,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
34317,MSC,74403,73403,ASHEVILLE,NC,28805,2218,70002,SEARS FORMAT,117 SGP 01185 06035 ASHEVILLE,NC,RSATO     /   SEGMEN,RSATO SEGMENTED A,3/24/2016,3/24/2016,5/26/2015,DSATO SEGMENTED A,999,MISCELLANOUS,Greenville et al, SC-NC,0,0,?,CLOSED,6/6/2015 07:34:53,MOKSHA_PROD_BCH,4/13/2016 10:38:45,MAPMPS_PROD_BCH,
4041,KMB,40691,40683,SIOUX FALLS,SD,57105,5647,70001,KMART FORMAT,SIOUX FALLS SD,CLOSED STO/   -     ,2005 CLOSED RM,1/15/2006,1/15/2006,10/24/1963,2005 CLOSED DM,2,KMART BIG K STORES,Sioux Falls et al, SD,0,0,?,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
54625,APO,74100,73100,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,SFI HIGH LEVEL LEDGER  A/,HIPS LICEN/   HIPS L,RHIPS HIPS LIC BU,1/1/1900,1/1/1900,1/20/1997,DHIPS LIC BUS,450,ACCOUNTING UNITS,Chicago, IL,0,0,901610,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
4974,KMC,40550,40676,FARMINGTON HILLS,MI,48334,?,70001,KMART FORMAT,FARMINGTON HILLS MI,CORP_STORE/   -     ,RM TEMP CORP,1/1/1900,1/1/1900,12/31/2049,DM TEMP CORP,2,KMART SUPER K STORES,Detroit, MI,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
