SHC_LOCN_NBR,NATL_NBR,SLL_FMT,VP_OVRHD_NBR,RGN_OVRHD_NBR,DM_OVRHD_NBR,LOCN_NBR,LOCN_LVL,FORMAT_TYPE,FORMAT_SUB_TYPE,STR_FMT,ORIG_FACILITY_NBR,ORIG_FACILITY_NBR_INT,AMMC_OVRHD_NBR,AMMC_MGR_NM,RPT_STR_NBR,LOCN_CTY,LOCN_ST_CD,ZIP_CD,ZIP_PLS_4,LOCN_OPN_DT,LOCN_CLS_DT,SHC_LOCN_DESC,NATL_DESC,SLL_FMT_DESC,VP_RGN_NM,RGN_MGR_NM,DM_MGR_NM,LOCN_NM,FMT_TYPE_MOD_CD,STR_TYPE_IND,CRM_FMT_SUB_TYPE,CLIM_ZN_NBR,MERCH_AREA_NBR,MERCH_AREA_NM,SRS_UNIT_LOCN_NBR,STR_OPER_CD,STR_OPER_DESC,LFSTY_CLS_CD,LOCN_CLS_CD
100000,70002,120,80073,79073,78573,6006,50,001,N1,SAC,0006006,6006,0,,2125,VALDOSTA,GA,31602,3507,2/16/1983,?,SHC NATIONAL LOCATION,SEARS FORMAT,SEARS AUTO CENTERS,SOUTHEAST /SAC - REG,SOUTHEAST 9073,JACKSONVILLE 573,VALDOSTA-SAC,  ,?,N1,?,5,DEEP SOUTH,0,1,OPEN FOR PROFIT,0,0
100000,70002,260,75407,74407,73407,33029,50,700,  ,HDQ,       ,?,0,,33029,HOFFMAN ESTATES,IL,60192,3333,1/29/2006,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,Overhead  /OHD 6,OVERHEAD RGN,OVERHEAD DIST,UNIT NUMBER 2585 PR-B,  ,?,  ,?,0,,0,4,UNDEFINED,0,0
100000,70002,150,80029,79029,78203,3581,50,001,O ,DLR,0003581,3581,0,,3581,CHANUTE,KS,66720,3252,8/27/1998,?,SHC NATIONAL LOCATION,SEARS FORMAT,AUTH HOMETOWN STORES,SOUTH REGI/HOMETOWN,R9029 SOUTH REGION,D203 TULSA,AUTHORIZED HOMETOWN STORE,  ,?,O ,?,11,MIDWEST,0,1,OPEN FOR PROFIT,0,0
100000,70002,140,75285,74285,73285,7661,50,001,L ,OUT,0007661,7661,0,,7661,LOUISVILLE,KY,40258,3948,5/27/2010,5/22/2015,SHC NATIONAL LOCATION,SEARS FORMAT,OUTLET STORES,CLOSED OUT/   CLOSED,RROCL CLOSED OUTL,DROCL CLOSED OUTL,LOUISVILLE - OUTLET,  ,?,L ,?,8,CENTRAL,0,6,CLOSED FOR PROFIT,0,0
100000,70002,260,75407,74407,73407,39431,50,450,J ,APO,       ,?,0,,39431,HOFFMAN ESTATES,IL,60179,3333,4/7/2014,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,Overhead  /OHD 6,OVERHEAD RGN,OVERHEAD DIST,LE-TAX SERVICES,  ,?,J ,?,0,,0,4,UNDEFINED,0,0
100000,70002,210,80890,79411,73208,8227,50,660,T ,SVC,0008227,8227,0,,8227,DALLAS,TX,75234,5722,7/6/1976,?,SHC NATIONAL LOCATION,SEARS FORMAT,TELESERVICE CENTERS,WEST DIVIS/PR REPAIR,T79411 TEXAS TERR,D8227 DALLAS,DALLAS -FT WORTH SRV CENT,  ,?,T ,?,12,SOUTHWEST,0,1,OPEN FOR PROFIT,0,0
100000,70002,110,80297,79297,78297,2319,50,001,B ,FLS,0002319,2319,0,,2319,KELSO,WA,98626,3100,3/2/1988,1/20/2013,SHC NATIONAL LOCATION,SEARS FORMAT,HARDWARE STORES,CLOSED REG/   CLOSED,R9025 CLOSED REGI,D297 CLOSED FLS D,KELSO - B,  ,?,B ,?,16,PACIFIC NORTHWEST,0,6,CLOSED FOR PROFIT,0,0
100000,70002,260,75407,74407,73407,36409,50,700,  ,HDQ,D766X  ,?,0,,36409,HOFFMAN EST,IL,60179,?,2/14/1996,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,Overhead  /OHD 6,OVERHEAD RGN,OVERHEAD DIST,LAW ADMINISTRATION,  ,?,  ,?,7,NORTH CENTRAL,0,4,UNDEFINED,0,0
100000,70002,150,80080,79080,78392,5064,50,001,O ,DLR,0005064,5064,0,,5064,HAWTHORNE,CA,90250,3395,1/16/2014,?,SHC NATIONAL LOCATION,SEARS FORMAT,AUTH HOMETOWN STORES,HOME APPL /SHOWROOMS,HA SHOWROOMS,D392 CALIF/WASHIN,HAWTHORNE - HAS,SP,?,O ,?,18,CENTRAL WEST COAST,0,1,OPEN FOR PROFIT,2,0
100000,70002,120,80110,79110,78597,6111,50,001,N1,SAC,0006111,6111,0,,6111,ABERDEEN,WA,98520,6738,7/30/1981,8/18/2005,SHC NATIONAL LOCATION,SEARS FORMAT,SEARS AUTO CENTERS,CLOSED SAC/SAC - REG,CLOSED UNITS-SAC,D597 CLOSED UNITS,ABERDEEN-SAC,  ,?,N1,?,7,NORTH CENTRAL,0,6,CLOSED FOR PROFIT,0,0
100000,70002,210,75246,74246,73255,54849,50,999,  ,MSC,0054849,54849,0,,54849,HOFFMAN ESTATES,IL,60179,3333,1/16/2013,?,SHC NATIONAL LOCATION,SEARS FORMAT,TELESERVICE CENTERS,SERVICE CO/   SERVIC,RCONT SERVICE CON,DAFTO SC MRA,SPP CORPORATE OFFSET,  ,?,  ,?,0,,0,4,UNDEFINED,0,0
