NatlDesc,LocnNbr,StrFmt,LocnCity,LocnStCd,LocnNm,LocnStat,OrigFacilNbr,CloseDT
KMART FORMAT,4465,KMB,SIOUX CITY,IA,SIOUX CITY IA,OPEN,,-2.2089888E9
KMART FORMAT,4470,KMB,WEST LONG BRANCH,NJ,WEST LONG BRANCH NJ,OPEN,,-2.2089888E9
KMART FORMAT,4473,KMB,TULSA,OK,TULSA OK,OPEN,,-2.2089888E9
KMART FORMAT,4478,KMB,TRENTON,NJ,TRENTON NJ,OPEN,,-2.2089888E9
KMART FORMAT,4479,KMB,HARRISBURG,PA,HARRISBURG PA,OPEN,,-2.2089888E9
KMART FORMAT,4481,KMB,PLYMOUTH,MI,PLYMOUTH MI,OPEN,,-2.2089888E9
KMART FORMAT,4483,KMB,ANNANDALE,VA,ANNANDALE VA,OPEN,,-2.2089888E9
KMART FORMAT,4490,KMB,GUAYNABO,PR,GUAYNABO PR,OPEN,,-2.2089888E9
KMART FORMAT,4494,KMB,TRUJILLO ALTO,PR,TRUJILLO ALTO PR,OPEN,,-2.2089888E9
KMART FORMAT,4685,KMO,HOFFMAN ESTATES,IL,HOFFMAN ESTATES IL,OPEN,,-2.2089888E9
KMART FORMAT,4700,KMB,FENTON,MI,FENTON MI,CLOSING,,-2.2089888E9
KMART FORMAT,4704,KMB,DEVILS LAKE,ND,DEVILS LAKE ND,OPEN,,-2.2089888E9
KMART FORMAT,4705,KMB,KINGSBURG,CA,KINGSBURG CA,OPEN,,-2.2089888E9
KMART FORMAT,4706,KMB,RIVERSIDE,CA,RIVERSIDE CA,OPEN,,-2.2089888E9
KMART FORMAT,4713,KMB,TOWANDA,PA,TOWANDA PA,OPEN,,-2.2089888E9
KMART FORMAT,4715,KMB,SEBRING,FL,SEBRING FL,OPEN,,-2.2089888E9
KMART FORMAT,4717,KMB,OAK RIDGE,TN,OAK RIDGE TN,CLOSING,,-2.2089888E9
KMART FORMAT,4720,KMB,ST LOUIS,MO,ST LOUIS MO,OPEN,,-2.2089888E9
KMART FORMAT,4721,KMB,COALINGA,CA,COALINGA CA,OPEN,,-2.2089888E9
KMART FORMAT,4725,KMB,KEY WEST,FL,KEY WEST FL,OPEN,,-2.2089888E9
KMART FORMAT,4726,KMB,JAMESTOWN,NY,JAMESTOWN NY,OPEN,,-2.2089888E9
KMART FORMAT,4728,KMB,MIAMI,FL,MIAMI FL,OPEN,,-2.2089888E9
KMART FORMAT,4731,KMA,GREENFIELD,IN,GREENFIELD IN,OPEN,,-2.2089888E9
KMART FORMAT,4732,KMB,AGUADILLA,PR,AGUADILLA PR,OPEN,,-2.2089888E9
KMART FORMAT,4736,KMB,CASPER,WY,CASPER WY,OPEN,,-2.2089888E9
KMART FORMAT,4739,KMB,CLARKSVILLE,TN,CLARKSVILLE TN,CLOSING,,-2.2089888E9
KMART FORMAT,4741,KMB,BATAVIA,NY,BATAVIA NY,OPEN,,-2.2089888E9
KMART FORMAT,4748,KMB,AMMON,ID,AMMON ID,OPEN,,-2.2089888E9
KMART FORMAT,4749,KMB,ONTARIO,CA,ONTARIO CA,OPEN,,-2.2089888E9
KMART FORMAT,4751,KMB,TEHACHAPI,CA,TEHACHAPI CA,OPEN,,-2.2089888E9
KMART FORMAT,4757,KMB,MADISON,NC,MADISON NC,OPEN,,-2.2089888E9
KMART FORMAT,4758,KMB,CONCORD,NC,CONCORD NC,OPEN,,-2.2089888E9
KMART FORMAT,4760,KMB,PHENIX CITY,AL,PHENIX CITY AL,OPEN,,-2.2089888E9
KMART FORMAT,4762,KMB,ANTIOCH,CA,ANTIOCH CA,OPEN,,-2.2089888E9
KMART FORMAT,4769,KMB,PELL CITY,AL,PELL CITY AL,OPEN,,-2.2089888E9
KMART FORMAT,4770,KMB,MCMURRAY,PA,MCMURRAY PA,OPEN,,-2.2089888E9
KMART FORMAT,4771,KMB,BUTLER,PA,BUTLER PA,OPEN,,-2.2089888E9
KMART FORMAT,4772,KMB,BURNHAM,PA,BURNHAM PA,CLOSING,,-2.2089888E9
KMART FORMAT,4781,KMB,MACOMB,IL,MACOMB IL,CLOSING,,-2.2089888E9
KMART FORMAT,4782,KMB,CLINTON,OK,CLINTON OK,OPEN,,-2.2089888E9
KMART FORMAT,4784,KMB,LONG BEACH,MS,LONG BEACH MS,OPEN,,-2.2089888E9
KMART FORMAT,4786,KMA,YORK,PA,YORK PA,OPEN,,-2.2089888E9
KMART FORMAT,4791,KMA,LONGVIEW,WA,LONGVIEW WA,OPEN,,-2.2089888E9
KMART FORMAT,4796,KMB,GREENVILLE,MI,GREENVILLE MI,OPEN,,-2.2089888E9
KMART FORMAT,4799,KMA,SOUTH HILL,VA,SOUTH HILL VA,OPEN,,-2.2089888E9
KMART FORMAT,4804,KMA,LOUISVILLE,KY,LOUISVILLE KY,OPEN,,-2.2089888E9
KMART FORMAT,4805,KMA,AMSTERDAM,NY,AMSTERDAM NY,OPEN,,-2.2089888E9
KMART FORMAT,4807,KMB,BEAR,DE,BEAR DE,OPEN,,-2.2089888E9
KMART FORMAT,4809,KMB,LAREDO,TX,LAREDO TX,OPEN,,-2.2089888E9
KMART FORMAT,4810,KMB,METAIRIE,LA,METAIRIE LA,OPEN,,-2.2089888E9
KMART FORMAT,4812,KMB,S ATTLEBORO,MA,S ATTLEBORO MA,OPEN,,-2.2089888E9
KMART FORMAT,4814,KMB,HAVRE,MT,HAVRE MT,OPEN,,-2.2089888E9
KMART FORMAT,4816,KMA,WEST DUNDEE,IL,WEST DUNDEE IL,OPEN,,-2.2089888E9
KMART FORMAT,4819,KMB,LAKEPORT,CA,LAKEPORT CA,OPEN,,-2.2089888E9
KMART FORMAT,4825,KMB,MILL HALL,PA,MILL HALL PA,OPEN,,-2.2089888E9
KMART FORMAT,4826,KMB,FAYETTEVILLE,NC,FAYETTEVILLE NC,OPEN,,-2.2089888E9
KMART FORMAT,4837,KMB,RIVERTON,WY,RIVERTON WY,CLOSING,,-2.2089888E9
KMART FORMAT,4842,KMA,GREENVILLE,TX,GREENVILLE TX,OPEN,,-2.2089888E9
KMART FORMAT,4844,KMB,RIO PIEDRAS,PR,RIO PIEDRAS PR,OPEN,,-2.2089888E9
KMART FORMAT,4845,KMB,MANISTEE,MI,MANISTEE MI,CLOSING,,-2.2089888E9
KMART FORMAT,4846,KMA,DYERSBURG,TN,DYERSBURG TN,OPEN,,-2.2089888E9
KMART FORMAT,4847,KMB,GEORGETOWN,KY,GEORGETOWN KY,OPEN,,-2.2089888E9
KMART FORMAT,4848,KMB,JACKSONVILLE,FL,JACKSONVILLE FL,OPEN,,-2.2089888E9
KMART FORMAT,4851,KMB,BYRON CENTER,MI,BYRON CENTER MI,CLOSING,,-2.2089888E9
KMART FORMAT,4856,KMA,LYNCHBURG,VA,LYNCHBURG VA,OPEN,,-2.2089888E9
KMART FORMAT,4857,KMB,DESERT HOT SPRINGS,CA,DESERT HOT SPRINGS CA,OPEN,,-2.2089888E9
KMART FORMAT,4858,KMB,CAGUAS,PR,CAGUAS PR,OPEN,,-2.2089888E9
KMART FORMAT,4859,KMA,PALMDALE,CA,PALMDALE CA,OPEN,,-2.2089888E9
KMART FORMAT,4860,KMB,GAITHERSBURG,MD,GAITHERSBURG MD,OPEN,,-2.2089888E9
KMART FORMAT,4862,KMB,MANTECA,CA,MANTECA CA,OPEN,,-2.2089888E9
KMART FORMAT,4863,KMB,GILLETTE,WY,GILLETTE WY,OPEN,,-2.2089888E9
